Descrição do Produto,Data de Venda,Preço Médio,Acessórios,Novo Preço
RENAULT-KWID,2023-11-01,60000,"Sensores de Estacionamento e Câmera de Ré, Tapetes Personalizados, Faróis de LED",64300
RENAULT-DUSTER,2023-11-01,100000,"Kit Multimídia, Faróis de LED",105800
RENAULT-SANDERO,2023-11-02,75000,"Teto Solar, Sistema de Som Premium",81500
RENAULT-STEPWAY,2023-11-02,95000,"Kit Multimídia, Faróis de LED, Assentos de Couro",105800
RENAULT-KWID,2023-11-02,60000,"Sistema de Som Premium, Sistema de Navegação",65000
RENAULT-STEPWAY,2023-11-02,95000,Sistema de Alarme e Rastreamento,97000
RENAULT-STEPWAY,2023-11-03,95000,"Sensores de Estacionamento e Câmera de Ré, Tapetes Personalizados",97500
RENAULT-STEPWAY,2023-11-04,95000,Kit Estético,97000
RENAULT-STEPWAY,2023-11-05,95000,"Kit Multimídia, Rodas de Liga Leve",101500
RENAULT-STEPWAY,2023-11-05,95000,"Faróis de LED, Kit Estético",98800
RENAULT-SANDERO,2023-11-05,75000,"Sistema de Navegação, Acessórios de Segurança, Teto Solar, Sensores de Estacionamento e Câmera de Ré",86500
RENAULT-DUSTER OROCH,2023-11-06,110000,"Kit Multimídia, Teto Solar, Sistema de Alarme e Rastreamento",119500
RENAULT-KWID,2023-11-08,60000,Kit Multimídia,64000
RENAULT-SANDERO,2023-11-09,75000,"Kit Multimídia, Sistema de Som Premium",82000
RENAULT-KWID,2023-11-09,60000,"Assentos de Couro, Sensores de Estacionamento e Câmera de Ré, Faróis de LED",68300
RENAULT-DUSTER OROCH,2023-11-10,110000,Acessórios de Segurança,114500
RENAULT-DUSTER OROCH,2023-11-10,110000,Sensores de Estacionamento e Câmera de Ré,111500
RENAULT-KWID,2023-11-11,60000,"Teto Solar, Rodas de Liga Leve, Sistema de Navegação, Faróis de LED",69800
RENAULT-KWID,2023-11-11,60000,Acessórios de Segurança,64500
RENAULT-STEPWAY,2023-11-11,95000,"Faróis de LED, Assentos de Couro",101800
RENAULT-SANDERO,2023-11-11,75000,"Tapetes Personalizados, Assentos de Couro, Sensores de Estacionamento e Câmera de Ré",82500
RENAULT-DUSTER,2023-11-11,100000,"Sistema de Alarme e Rastreamento, Rodas de Liga Leve, Acessórios de Segurança, Kit Estético",111000
RENAULT-DUSTER,2023-11-12,100000,Sensores de Estacionamento e Câmera de Ré,101500
RENAULT-SANDERO,2023-11-12,75000,"Sistema de Navegação, Tapetes Personalizados, Kit Estético, Assentos de Couro",85000
RENAULT-STEPWAY,2023-11-12,95000,"Sensores de Estacionamento e Câmera de Ré, Tapetes Personalizados, Sistema de Alarme e Rastreamento, Sistema de Navegação",101500
RENAULT-DUSTER OROCH,2023-11-12,110000,"Rodas de Liga Leve, Sensores de Estacionamento e Câmera de Ré",114000
RENAULT-DUSTER OROCH,2023-11-12,110000,Faróis de LED,111800
RENAULT-STEPWAY,2023-11-13,95000,"Assentos de Couro, Kit Estético, Sistema de Som Premium",105000
RENAULT-DUSTER OROCH,2023-11-14,110000,"Sensores de Estacionamento e Câmera de Ré, Kit Estético",113500
RENAULT-SANDERO,2023-11-15,75000,"Faróis de LED, Sistema de Navegação, Sensores de Estacionamento e Câmera de Ré, Sistema de Som Premium",83300
RENAULT-DUSTER,2023-11-15,100000,Assentos de Couro,105000
RENAULT-DUSTER,2023-11-16,100000,"Sensores de Estacionamento e Câmera de Ré, Tapetes Personalizados, Faróis de LED, Sistema de Som Premium",107300
RENAULT-STEPWAY,2023-11-16,95000,"Tapetes Personalizados, Sistema de Som Premium",99000
RENAULT-DUSTER OROCH,2023-11-17,110000,"Rodas de Liga Leve, Sistema de Alarme e Rastreamento",114500
RENAULT-KWID,2023-11-18,60000,"Sistema de Som Premium, Acessórios de Segurança, Sistema de Alarme e Rastreamento, Tapetes Personalizados",70500
RENAULT-SANDERO,2023-11-18,75000,"Sistema de Som Premium, Tapetes Personalizados, Sensores de Estacionamento e Câmera de Ré, Rodas de Liga Leve",83000
RENAULT-DUSTER OROCH,2023-11-19,110000,"Acessórios de Segurança, Sistema de Alarme e Rastreamento, Sensores de Estacionamento e Câmera de Ré",118000
RENAULT-DUSTER,2023-11-20,100000,"Faróis de LED, Acessórios de Segurança",106300
RENAULT-STEPWAY,2023-11-20,95000,Acessórios de Segurança,99500
RENAULT-SANDERO,2023-11-20,75000,"Sensores de Estacionamento e Câmera de Ré, Sistema de Som Premium",79500
RENAULT-DUSTER OROCH,2023-11-20,110000,"Faróis de LED, Assentos de Couro, Acessórios de Segurança",121300
RENAULT-SANDERO,2023-11-20,75000,Assentos de Couro,80000
RENAULT-KWID,2023-11-20,60000,"Faróis de LED, Rodas de Liga Leve",64300
RENAULT-STEPWAY,2023-11-21,95000,"Kit Estético, Rodas de Liga Leve",99500
RENAULT-DUSTER,2023-11-21,100000,Kit Estético,102000
RENAULT-SANDERO,2023-11-22,75000,"Teto Solar, Sistema de Navegação, Sensores de Estacionamento e Câmera de Ré",82000
RENAULT-DUSTER,2023-11-22,100000,"Kit Estético, Sistema de Alarme e Rastreamento, Faróis de LED, Sistema de Navegação",107800
RENAULT-KWID,2023-11-24,60000,Acessórios de Segurança,64500
RENAULT-STEPWAY,2023-11-24,95000,"Kit Estético, Tapetes Personalizados",98000
RENAULT-KWID,2023-11-25,60000,"Kit Multimídia, Assentos de Couro, Teto Solar, Rodas de Liga Leve",75000
RENAULT-SANDERO,2023-11-25,75000,"Assentos de Couro, Sensores de Estacionamento e Câmera de Ré, Acessórios de Segurança",86000
RENAULT-DUSTER OROCH,2023-11-26,110000,"Rodas de Liga Leve, Kit Multimídia, Tapetes Personalizados, Kit Estético",119500
RENAULT-KWID,2023-11-27,60000,"Rodas de Liga Leve, Sistema de Som Premium, Acessórios de Segurança, Sistema de Navegação",72000
RENAULT-DUSTER,2023-11-27,100000,"Sensores de Estacionamento e Câmera de Ré, Assentos de Couro, Kit Multimídia",110500
RENAULT-KWID,2023-11-27,60000,"Kit Multimídia, Acessórios de Segurança, Teto Solar",72000
RENAULT-STEPWAY,2023-11-27,95000,Kit Multimídia,99000
RENAULT-STEPWAY,2023-11-27,95000,Assentos de Couro,100000
RENAULT-KWID,2023-11-28,60000,"Sistema de Som Premium, Faróis de LED, Tapetes Personalizados, Kit Multimídia",69800
RENAULT-KWID,2023-11-28,60000,"Sistema de Navegação, Kit Estético, Faróis de LED, Sistema de Alarme e Rastreamento",67800
RENAULT-DUSTER OROCH,2023-11-29,110000,"Acessórios de Segurança, Sistema de Alarme e Rastreamento",116500
RENAULT-KWID,2023-11-29,60000,"Assentos de Couro, Sistema de Navegação, Kit Multimídia",71000
RENAULT-SANDERO,2023-11-30,75000,Kit Estético,77000
RENAULT-DUSTER OROCH,2023-11-30,110000,Rodas de Liga Leve,112500
RENAULT-DUSTER OROCH,2023-12-01,110000,"Faróis de LED, Teto Solar, Acessórios de Segurança",119800
RENAULT-DUSTER OROCH,2023-12-01,110000,"Tapetes Personalizados, Kit Multimídia",115000
RENAULT-DUSTER OROCH,2023-12-01,110000,Rodas de Liga Leve,112500
RENAULT-DUSTER OROCH,2023-12-01,110000,Assentos de Couro,115000
RENAULT-KWID,2023-12-01,60000,"Faróis de LED, Sistema de Alarme e Rastreamento",63800
RENAULT-STEPWAY,2023-12-01,95000,"Rodas de Liga Leve, Acessórios de Segurança, Faróis de LED, Sistema de Alarme e Rastreamento",105800
RENAULT-SANDERO,2023-12-02,75000,"Tapetes Personalizados, Sistema de Alarme e Rastreamento, Sensores de Estacionamento e Câmera de Ré",79500
RENAULT-KWID,2023-12-03,60000,"Assentos de Couro, Teto Solar, Acessórios de Segurança",73000
RENAULT-DUSTER OROCH,2023-12-03,110000,Rodas de Liga Leve,112500
RENAULT-DUSTER,2023-12-04,100000,Assentos de Couro,105000
RENAULT-STEPWAY,2023-12-04,95000,Teto Solar,98500
RENAULT-DUSTER,2023-12-05,100000,"Kit Estético, Kit Multimídia",106000
RENAULT-DUSTER,2023-12-05,100000,"Kit Multimídia, Sistema de Som Premium",107000
RENAULT-DUSTER OROCH,2023-12-05,110000,Sistema de Navegação,112000
RENAULT-DUSTER OROCH,2023-12-07,110000,Kit Estético,112000
RENAULT-DUSTER,2023-12-07,100000,Sistema de Alarme e Rastreamento,102000
RENAULT-KWID,2023-12-07,60000,"Assentos de Couro, Acessórios de Segurança, Tapetes Personalizados",70500
RENAULT-KWID,2023-12-08,60000,"Sensores de Estacionamento e Câmera de Ré, Acessórios de Segurança, Assentos de Couro, Teto Solar",74500
RENAULT-STEPWAY,2023-12-09,95000,"Kit Estético, Rodas de Liga Leve, Sistema de Som Premium",102500
RENAULT-KWID,2023-12-10,60000,"Sistema de Alarme e Rastreamento, Assentos de Couro, Teto Solar, Sensores de Estacionamento e Câmera de Ré",72000
RENAULT-KWID,2023-12-10,60000,"Kit Estético, Rodas de Liga Leve",64500
RENAULT-DUSTER OROCH,2023-12-11,110000,Rodas de Liga Leve,112500
RENAULT-KWID,2023-12-11,60000,Sistema de Alarme e Rastreamento,62000
RENAULT-KWID,2023-12-11,60000,"Kit Multimídia, Tapetes Personalizados",65000
RENAULT-KWID,2023-12-11,60000,"Sistema de Som Premium, Faróis de LED",64800
RENAULT-DUSTER,2023-12-12,100000,"Sistema de Navegação, Sistema de Alarme e Rastreamento, Rodas de Liga Leve",106500
RENAULT-KWID,2023-12-12,60000,"Kit Multimídia, Kit Estético, Acessórios de Segurança, Rodas de Liga Leve",73000
RENAULT-DUSTER,2023-12-12,100000,"Kit Estético, Sistema de Som Premium, Sensores de Estacionamento e Câmera de Ré, Faróis de LED",108300
RENAULT-STEPWAY,2023-12-13,95000,"Acessórios de Segurança, Kit Multimídia, Sensores de Estacionamento e Câmera de Ré",105000
RENAULT-DUSTER OROCH,2023-12-13,110000,"Kit Estético, Sistema de Navegação",114000
RENAULT-SANDERO,2023-12-13,75000,"Acessórios de Segurança, Sistema de Som Premium, Sensores de Estacionamento e Câmera de Ré",84000
RENAULT-DUSTER OROCH,2023-12-13,110000,"Acessórios de Segurança, Assentos de Couro, Kit Estético",121500
RENAULT-DUSTER OROCH,2023-12-13,110000,"Acessórios de Segurança, Kit Multimídia, Rodas de Liga Leve",121000
RENAULT-STEPWAY,2023-12-14,95000,"Tapetes Personalizados, Kit Multimídia",100000
RENAULT-KWID,2023-12-15,60000,"Kit Multimídia, Kit Estético, Tapetes Personalizados",67000
RENAULT-DUSTER,2023-12-15,100000,Teto Solar,103500
RENAULT-DUSTER,2023-12-15,100000,"Sistema de Navegação, Sistema de Alarme e Rastreamento, Sistema de Som Premium",107000
RENAULT-DUSTER OROCH,2023-12-16,110000,"Kit Multimídia, Acessórios de Segurança, Kit Estético, Sistema de Alarme e Rastreamento",122500
RENAULT-KWID,2023-12-16,60000,Teto Solar,63500
RENAULT-KWID,2023-12-17,60000,Teto Solar,63500
RENAULT-SANDERO,2023-12-17,75000,"Faróis de LED, Sistema de Som Premium",79800
RENAULT-KWID,2023-12-17,60000,"Tapetes Personalizados, Teto Solar",64500
RENAULT-DUSTER OROCH,2023-12-18,110000,"Kit Estético, Sensores de Estacionamento e Câmera de Ré, Kit Multimídia, Acessórios de Segurança",122000
RENAULT-DUSTER OROCH,2023-12-18,110000,Assentos de Couro,115000
RENAULT-DUSTER,2023-12-19,100000,Sensores de Estacionamento e Câmera de Ré,101500
RENAULT-KWID,2023-12-19,60000,Assentos de Couro,65000
RENAULT-STEPWAY,2023-12-19,95000,Sistema de Navegação,97000
RENAULT-DUSTER OROCH,2023-12-19,110000,"Kit Multimídia, Tapetes Personalizados, Sistema de Som Premium",118000
RENAULT-KWID,2023-12-20,60000,"Kit Multimídia, Assentos de Couro",69000
RENAULT-KWID,2023-12-20,60000,"Faróis de LED, Acessórios de Segurança, Rodas de Liga Leve, Teto Solar",72300
RENAULT-KWID,2023-12-21,60000,"Sistema de Som Premium, Kit Multimídia, Sistema de Navegação, Acessórios de Segurança",73500
RENAULT-DUSTER OROCH,2023-12-22,110000,"Rodas de Liga Leve, Kit Estético, Sistema de Som Premium",117500
